sPort|   Records|
 1556|         4|
 2022|         7|
39610|         1|
 2040|         5|
 7443|         4|
34571|         5|
  100|         4|
10004|         4|
34992|         1|
 1175|         6|
41511|         5|
36866|      1078|
49176|         7|
 9091|         5|
17500|         1|
 1501|         4|
 9103|         5|
 4004|         5|
 5560|         6|
 3914|         4|
  787|         5|
34834|         1|
  888|         4|
 3323|         6|
 5801|         8|
 3690|         5|
    1|         4|
 6502|         5|
 6000|         6|
 1580|         5|
 5679|         5|
50370|         1|
10243|         4|
 2049|         5|
 3007|         5|
  900|         5|
   30|         5|
 1045|         7|
34991|         1|
 8500|         5|
 5633|         5|
 1417|         5|
 5922|         5|
 1124|         5|
 9898|         8|
  901|         5|
   26|         4|
  259|         4|
  765|         5|
49156|         6|
 8081|         4|
  500|         6|
10215|         5|
 1049|         5|
 1277|         6|
60020|         6|
 5414|         5|
 1658|         5|
 1334|         5|
55056|         7|
12174|         5|
34998|         1|
19350|         5|
  801|         5|
60017|         1|
  726|         4|
10621|         6|
  563|         4|
  548|         6|
  554|         6|
25734|         5|
34990|         1|
34993|         1|
 8022|         5|
35052|         1|
14238|         4|
58080|         4|
 7627|         6|
  800|         5|
 2607|         6|
 3869|         5|
   25|         6|
 8292|         5|
 1080|         6|
 1052|         5|
 9900|         5|
 1086|         4|
 7025|         5|
 2065|         7|
56402|         2|
 2702|         5|
 5811|         6|
40097|         1|
39652|         1|
 8085|         5|
 5810|         5|
  481|         6|
 1166|         5|
 8090|         6|
35012|         1|
44442|         6|
57091|         2|
 3390|         6|
49159|         6|
  212|         5|
 6112|         7|
 3324|         5|
 7938|         5|
 6129|         5|
39514|         1|
 1875|         4|
40911|         4|
 4129|         5|
 3370|         5|
19283|         6|
 2004|         7|
 3703|         6|
34957|         1|
   99|         5|
 9618|         7|
 6009|         6|
 1044|         6|
 1688|         5|
 1600|         6|
 7100|         5|
33078|         1|
 1152|         4|
 1036|         4|
 2196|         5|
 1050|         6|
 3527|         6|
  464|         6|
18101|         6|
 1971|         5|
 6565|         5|
 1666|         5|
20221|         4|
 1083|         5|
 7435|         5|
39614|         1|
 8084|         5|
 9999|         4|
  144|         6|
56738|         5|
 1051|         6|
 1092|         6|
22939|         4|
10778|         7|
 2013|         4|
35646|         1|
 2399|         4|
 8010|         7|
  631|         4|
 4848|         5|
 1041|         4|
 6881|         5|
34959|         1|
34956|         1|
34989|         1|
34951|         1|
 3001|         4|
 2710|         5|
34573|         5|
62078|         6|
 9944|         5|
 5200|         4|
 3826|         5|
  366|         6|
 3995|         7|
27356|         6|
65129|         4|
55938|         1|
40193|         6|
 8042|         5|
   37|         6|
48392|         1|
 6101|         6|
52927|         2|
34930|      6000|
 6839|         4|
55165|         1|
 8652|         4|
10180|         8|
 8088|         6|
 1112|         4|
 2068|         5|
37897|         1|
 1034|         6|
 8651|         4|
32784|         4|
 1761|         4|
16012|         5|
 3986|         4|
 1084|         6|
10003|         4|
 5269|         5|
54626|         2|
32781|         5|
34983|         1|
 5825|         4|
32772|         4|
   80|        42|
15004|         4|
  465|         5|
 5718|         6|
 3269|         6|
 6692|         5|
   85|         5|
 8300|         5|
  873|         5|
 5000|         5|
16993|         5|
 1164|         6|
34982|         1|
 7001|         6|
34970|         1|
  389|         6|
 7201|         5|
51103|         5|
18040|         4|
 6789|         6|
